aws_dynamodb_global_table AWS::DynamoDB::GlobalTable
aws_dynamodb_table AWS::DynamoDB::Table
aws_ec2_capacity_reservation AWS::EC2::CapacityReservation
aws_ec2_carrier_gateway AWS::EC2::CarrierGateway
aws_ec2_client_vpn_authorization_rule AWS::EC2::ClientVpnAuthorizationRule
aws_ec2_client_vpn_endpoint AWS::EC2::ClientVpnEndpoint
aws_ec2_client_vpn_route AWS::EC2::ClientVpnRoute
aws_ec2_host AWS::EC2::Host
aws_ec2_instance_connect_endpoint AWS::EC2::InstanceConnectEndpoint
aws_ec2_local_gateway_route AWS::EC2::LocalGatewayRoute
aws_ec2_local_gateway_route_table_vpc_association AWS::EC2::LocalGatewayRouteTableVPCAssociation
aws_ec2_network_insights_analysis AWS::EC2::NetworkInsightsAnalysis
aws_ec2_network_insights_path AWS::EC2::NetworkInsightsPath
aws_ec2_traffic_mirror_filter AWS::EC2::TrafficMirrorFilter
aws_ec2_traffic_mirror_filter_rule AWS::EC2::TrafficMirrorFilterRule
aws_ec2_traffic_mirror_session AWS::EC2::TrafficMirrorSession
aws_ec2_traffic_mirror_target AWS::EC2::TrafficMirrorTarget
aws_ec2_transit_gateway AWS::EC2::TransitGateway
aws_ec2_transit_gateway_connect AWS::EC2::TransitGatewayConnect
aws_ec2_transit_gateway_multicast_domain AWS::EC2::TransitGatewayMulticastDomain
aws_ec2_transit_gateway_multicast_domain_association AWS::EC2::TransitGatewayMulticastDomainAssociation
aws_ec2_transit_gateway_multicast_group_member AWS::EC2::TransitGatewayMulticastGroupMember
aws_ec2_transit_gateway_multicast_group_source AWS::EC2::TransitGatewayMulticastGroupSource
aws_ec2_transit_gateway_peering_attachment AWS::EC2::TransitGatewayPeeringAttachment
aws_ec2_transit_gateway_route AWS::EC2::TransitGatewayRoute
aws_ec2_transit_gateway_route_table AWS::EC2::TransitGatewayRouteTable
aws_ec2_transit_gateway_route_table_association AWS::EC2::TransitGatewayRouteTableAssociation
